rideType,displayName,currency,minCostCent,maxCostCent,journeyDuration,distanceMiles,primeTimeConfirmationToken,primeTimePercentage,currentDate
lyft_plus,Lyft Plus,USD,2700,3800,1785,4.62,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_line,Lyft Line,USD,2119,2119,1785,4.62,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft,Lyft,USD,1700,2600,1785,4.62,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_plus,Lyft Plus,USD,1200,2100,761,2.07,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_line,Lyft Line,USD,1071,1071,761,2.07,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft,Lyft,USD,800,1500,761,2.07,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1500,421,1.2,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_line,Lyft Line,USD,714,714,421,1.2,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft,Lyft,USD,800,1100,421,1.2,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_plus,Lyft Plus,USD,1400,2200,802,2.48,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_line,Lyft Line,USD,1162,1162,802,2.48,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft,Lyft,USD,800,1600,802,2.48,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_plus,Lyft Plus,USD,1600,2600,1006,2.98,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_line,Lyft Line,USD,1371,1371,1006,2.98,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft,Lyft,USD,1000,1800,1006,2.98,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_plus,Lyft Plus,USD,2200,3300,1363,4.16,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_line,Lyft Line,USD,1797,1797,1363,4.16,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft,Lyft,USD,1400,2200,1363,4.16,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_plus,Lyft Plus,USD,1500,2500,1011,2.7,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_line,Lyft Line,USD,1323,1323,1011,2.7,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft,Lyft,USD,900,1800,1011,2.7,,0%,Thu Apr 21 00:09:42 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1200,146,0.04,,0%,Thu Apr 21 00:09:43 EDT 2016
lyft,Lyft,USD,800,800,146,0.04,,0%,Thu Apr 21 00:09:43 EDT 2016
lyft_plus,Lyft Plus,USD,1200,2000,684,2.01,,0%,Thu Apr 21 00:09:43 EDT 2016
lyft_line,Lyft Line,USD,1010,1010,684,2.01,,0%,Thu Apr 21 00:09:43 EDT 2016
lyft,Lyft,USD,800,1400,684,2.01,,0%,Thu Apr 21 00:09:43 EDT 2016
lyft_plus,Lyft Plus,USD,2200,3200,1194,4.49,,0%,Thu Apr 21 00:09:43 EDT 2016
lyft_line,Lyft Line,USD,1751,1751,1194,4.49,,0%,Thu Apr 21 00:09:43 EDT 2016
lyft,Lyft,USD,1400,2200,1194,4.49,,0%,Thu Apr 21 00:09:43 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1300,380,0.74,,0%,Thu Apr 21 00:09:43 EDT 2016
