localizedDisplayName,highEstimate,lowEstimate,minimumFare,duration,displayName,productId,surgeMultiplier,currencyCode,distance,currentDate
uberX,12.0,9.0,7.0,780,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,1.0,USD,3.44,Tue Apr 19 00:23:21 EDT 2016
uberXL,18.0,14.0,9.0,780,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,1.0,USD,3.44,Tue Apr 19 00:23:21 EDT 2016
uberSELECT,26.0,20.0,11.0,780,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,1.0,USD,3.44,Tue Apr 19 00:23:21 EDT 2016
UberBLACK,34.0,26.0,15.0,780,UberBLACK,d4abaae7-f4d6-4152-91cc-77523e8165a4,1.0,USD,3.44,Tue Apr 19 00:23:21 EDT 2016
UberSUV,45.0,36.0,25.0,780,UberSUV,8920cb5e-51a4-4fa4-acdf-dd86c5e18ae0,1.0,USD,3.44,Tue Apr 19 00:23:21 EDT 2016
ASSIST,12.0,9.0,7.0,780,ASSIST,ff5ed8fe-6585-4803-be13-3ca541235de3,1.0,USD,3.44,Tue Apr 19 00:23:21 EDT 2016
uberWAV,23.0,18.0,9.0,780,uberWAV,2832a1f5-cfc0-48bb-ab76-7ea7a62060e7,1.0,USD,3.44,Tue Apr 19 00:23:21 EDT 2016
uberTAXI,,,,780,uberTAXI,3ab64887-4842-4c8e-9780-ccecd3a0391d,1.0,,3.44,Tue Apr 19 00:23:21 EDT 2016
uberX,12.0,9.0,7.0,720,uberX,a1111c8c-c720-46c3-8534-2fcdd730040d,1.0,USD,3.42,Tue Apr 19 00:23:25 EDT 2016
uberXL,18.0,14.0,9.0,720,uberXL,821415d8-3bd5-4e27-9604-194e4359a449,1.0,USD,3.42,Tue Apr 19 00:23:25 EDT 2016
uberSELECT,26.0,20.0,11.0,720,uberSELECT,57c0ff4e-1493-4ef9-a4df-6b961525cf92,1.0,USD,3.42,Tue Apr 19 00:23:25 EDT 2016
